Concept;Unit;Code;Scale;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;1,402E-12;1,446E-12;1,398E-12;1,398E-12;1,398E-12;3,61E-12;3,745E-12;3,7E-12;7E-12;8,335E-12;8,27E-12;8,302E-12;1,341E-11;1,325E-11;1,509E-11;1,885E-11;2,473E-11;3,5E-11;3,5E-11;3,5E-11;4E-11;5,42859E-11;5,42859E-11;6,03173E-11;6,12175E-11;7,12755E-10;3,18923E-09;7,25791E-09;1,30736E-08;2,1321E-08;2,54126E-08;8,43634E-08;5,35504E-07;2,43532E-06;1,75198E-05;8,79284E-05;0,000153756;0,000531998;0,001799195;0,235892449;0,794554068;1,428285342;1,361942607;1,371498132;1,459117697;1,486484879;1,437236135;1,34857627;1,407320318;1,371825894;1,302256376;1,256101423;4,513616984;4,316743467;4,595348433;4,304948118;4,576390519;4,944596499;5,287745461;5,925870186;6,092377444;6,577078788;7,527833619;10,01153459;12,32933077;18,15307057;21,37487498;26,48889674;52,293763;82,6791416;121,0545646
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;1,38717E-11;1,40392E-11;1,69567E-11;2,0915E-11;3,33425E-11;3,5E-11;3,5E-11;3,79167E-11;4,53516E-11;5,42859E-11;5,96066E-11;6,01318E-11;4,44074E-10;1,61614E-09;4,75921E-09;9,96284E-09;1,70153E-08;2,39112E-08;5,19147E-08;2,86187E-07;1,12565E-06;6,9341E-06;6,11038E-05;0,000110633;0,000277274;0,001176274;0,054261666;0,661536851;1,304607603;1,395192647;1,394857909;1,430280131;1,516637184;1,451266625;1,375328698;1,355761921;1,36663363;1,318104143;1,272401924;3,966422503;4,062548548;4,32933577;4,28859835;4,493639301;4,738181519;4,968174047;5,717290591;5,944615778;6,488611704;6,949166699;8,296405762;12,26903052;12,91828192;20,51333854;22,96462266;39,77773011;66,52416622;98,2526221
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;1,402E-12;1,446E-12;1,398E-12;1,398E-12;1,398E-12;3,61E-12;3,745E-12;3,7E-12;7E-12;8,335E-12;8,27E-12;8,302E-12;1,341E-11;1,325E-11;1,509E-11;1,885E-11;2,473E-11;3,5E-11;3,5E-11;3,5E-11;4E-11;5E-11;5E-11;5E-11;5E-11;6,0885E-10;2,745E-09;5,975E-09;1,0035E-08;1,6185E-08;1,9925E-08;7,248E-08;4,8545E-07;2,3261E-06;1,78735E-05;0,00008005;0,0001257;0,000375;0,001337;0,1795;0,5585;0,9985;0,9905;0,9985;0,9995;1;0,9995;0,9995;0,9995;0,9995;0,9995;0,9995;3,32;2,905;2,959;3,012;3,042;3,129;3,433;3,78;3,956;4,284;4,898;6,501;8,51;13,1;15,9;18,6;37,6;59,79;84,05
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;1,38717E-11;1,40392E-11;1,69567E-11;2,0915E-11;3,33425E-11;3,5E-11;3,5E-11;3,79167E-11;4,52167E-11;5E-11;5E-11;5E-11;3,6575E-10;1,39983E-09;4,07633E-09;7,9575E-09;1,31697E-08;1,83716E-08;4,40269E-08;2,59225E-07;1,053E-06;6,76491E-06;6,01809E-05;9,43032E-05;0,00021443;0,00087526;0,042333961;0,487589083;0,953554417;0,990641667;0,998945833;0,999008333;0,99975;0,9996625;0,9995;0,9995;0,9995;0,9995;0,9995;3,063256667;2,900629167;2,923300819;2,9036575;3,054313333;3,095648849;3,14416456;3,710106831;3,896295154;4,110139576;4,53693436;5,459352665;8,075275993;9,233185525;14,75817509;16,56270693;28,09499167;48,14789167;70,53916667
