Indicator;;;Scale;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;11,94;12,01;11,35;11;10,54;10,73;10,81;10,6;10,86;10,68;10,5;10,15;9,96;10,2;10,39;10,46;10,74;10,54;10,74;10,75;10,66;10,71;10,56;10,65;10,49;10,6;10,95;11,23;10,92;11,05
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;11,98;12;11,82;11,21;10,74;10,73;10,74;10,64;10,67;10,81;10,54;10,24;10,05;10,08;10,27;10,35;10,66;10,64;10,57;10,7;10,74;10,62;10,56;10,61;10,54;10,54;10,85;11,1;11,13;11,08
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;7,73;7,77;7,65;7,6;7,64;7,63;7,7;7,65;7,71;7,64;7,52;7,55;7,34;7,33;7,35;7,34;7,39;7,49;7,7;7,73;7,68;7,71;7,74;7,7;7,69;7,7;7,78;7,8;7,71;7,75
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;7,78;7,76;7,76;7,63;7,64;7,68;7,66;7,64;7,68;7,67;7,55;7,5;7,42;7,34;7,29;7,34;7,36;7,44;7,55;7,72;7,72;7,67;7,68;7,71;7,68;7,7;7,72;7,79;7,75;7,72
