Indicator;;;Scale;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;3.990,42;3.921,24;3.908,05;4.036,72;4.042,80;4.227,40;4.216,53;4.151,25;4.156,60;4.230,13;4.254,87;4.232,00;4.144,26;4.129,35;4.041,80;4.035,61;4.078,99;4.142,48;4.040,01;4.242,55;4.171,21;4.426,18;4.481,68;4.554,86;4.431,05;4.294,60;4.429,82;4.500,56;4.625,80;4.444,83;4.534,54;4.740,13;4.719,78;4.676,05;4.762,60;4.555,10;4.697,40;4.816,25;5.547,65;5.442,78;5.108,60;5.171,12;5.284,15;5.335,65;5.459,90;5.434,15;5.164,70;4.961,58;5.165,91;5.164,44;5.295,98;5.331,66;5.413,86;5.358,60;5.482,12;5.421,96
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;3.977,63;3.904,04;3.987,45;3.911,21;4.020,98;4.093,06;4.239,70;4.196,90;4.143,95;4.165,05;4.247,29;4.233,88;4.126,54;4.151,26;4.142,97;4.012,03;4.070,02;4.089,26;4.052,98;4.129,56;4.255,44;4.288,17;4.427,29;4.444,23;4.413,65;4.334,29;4.348,58;4.379,06;4.565,84;4.514,92;4.430,63;4.687,98;4.649,89;4.715,97;4.668,24;4.677,24;4.576,88;4.668,61;5.310,03;5.435,92;5.268,46;5.102,18;5.097,16;5.348,40;5.305,06;5.419,69;5.242,56;4.982,27;5.043,79;5.118,22;5.163,03;5.218,26;5.391,88;5.301,21;5.453,15;5.531,42
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;2.936,66;2.896,27;2.880,24;2.944,31;2.920,42;3.038,26;2.995,23;2.937,09;2.941,07;3.011,44;3.006,09;2.971,63;2.844,14;2.855,93;2.780,04;2.806,28;2.879,32;2.945,09;2.875,72;3.027,39;2.989,58;3.202,44;3.240,02;3.275,01;3.163,46;3.072,01;3.190,94;3.247,72;3.357,82;3.197,23;3.296,85;3.464,15;3.462,01;3.389,94;3.469,01;3.294,05;3.411,45;3.507,11;4.064,81;3.983,29;3.723,42;3.758,91;3.739,49;3.760,38;3.878,94;3.849,53;3.611,44;3.444,90;3.585,44;3.588,23;3.736,91;3.712,89;3.747,48;3.756,67;3.836,95;3.806,87
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;2.943,09;2.880,57;2.943,22;2.873,49;2.925,08;2.958,36;3.038,11;2.974,04;2.917,61;2.954,57;3.015,95;2.991,83;2.868,90;2.860,36;2.851,66;2.765,96;2.857,68;2.891,97;2.884,25;2.959,57;3.039,04;3.083,09;3.197,70;3.208,26;3.166,10;3.113,77;3.125,34;3.156,60;3.304,57;3.258,83;3.207,63;3.414,80;3.398,24;3.437,34;3.394,71;3.392,05;3.317,20;3.409,82;3.870,01;3.986,56;3.863,34;3.698,22;3.661,36;3.788,10;3.757,05;3.833,06;3.687,76;3.465,77;3.496,07;3.554,37;3.617,00;3.651,85;3.743,78;3.693,00;3.831,51;3.890,55
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;80,65;81,51;79,47;80,91;79,27;77,87;75,26;76,18;77,19;77,08;75,71;76,15;78,28;78,02;78,43;80,97;80,27;80,39;81,08;79,71;78,23;77,1;74,85;74,57;74,69;75,86;75,84;75,25;72,57;73,31;74,24;71,01;71,74;70,69;71,54;71,43;72,71;71,49;64,54;63,92;65,98;67,73;68,19;65,49;65,65;64,26;66,09;69,37;68,71;67,84;67,47;66,57;64,38;65,29;63,47;62,68
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;78,24;79,42;77,49;78,97;77,5;76,29;73,85;74,75;75,73;75,69;74,42;74,9;76,98;76,66;77,01;79,62;78,98;79,1;79,72;78,38;76,92;75,83;73,85;73,73;74,03;75,12;74,99;74,32;71,83;72,78;73,93;70,78;71,62;70,53;71,37;71,2;72,34;71,25;64,67;64,22;66,2;67,56;68,14;65,31;65,7;64,29;66,07;69,32;68,45;67,55;67,06;66,14;64,41;65,14;63,46;62,92
