Concept;Unit;Code;Scale;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,74;1,37;2,24;2,97;3,18;3,43;3,74;3,68;4,45;4,82;4,6;4,33;4,78;5,15;5,1;4,9;4,81;4,73;4,84;4,53;4,33;4,14;3,92;4,3;4,32;4,73;4,51;4,62;4,69;4,58;5,22
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;1,06;1,75;2,78;3,14;3,42;3,56;3,67;3,97;4,63;4,6;4,46;4,55;4,87;5,05;4,87;4,82;4,79;4,62;4,64;4,31;4,35;4,04;4,11;4,31;4,46;4,69;4,52;4,65;4,61;4,87
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,52;0,96;1,63;2,16;2,18;2,31;2,6;2,73;3,16;3,51;3,53;3,44;3,51;3,46;3,28;3,43;3,2;3;3,14;2,89;2,81;2,7;2,55;2,8;2,99;3,41;3,36;3,24;3,37;3,31;3,62
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19;0,77;1,25;1,99;2,2;2,25;2,45;2,66;2,93;3,38;3,49;3,51;3,52;3,48;3,41;3,3;3,27;3,13;2,92;3,01;2,83;2,75;2,64;2,7;2,84;3,18;3,38;3,26;3,29;3,34;3,49
