Concept;Unit;Code;Scale;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;1,96;2,51;2,51;2,51;2,51;2,51;2,51;5,42;6,4;6,4;6,7;6,7;9;9;9;13,5;13,5;15,76;16,88;17,85;19,09;22,7;24,74;29,91;35,05;38,58;42,2;46,11;53,41;57,96;64,94;68,75;77,54;92,94;111,64;189,15;267,88;374,1;451,97;570,24;809,11;1.011,11;1.116,19;1.260,01;1.213,53;1.468,13;1.445,62;1.745,36;2.122,62;2.571,77;2.849,49;2.892,15;3.894,75;4.132,22;3.746,01;3.264,76;3.347,96;3.141,23;3.385,65;3.204,72;3.064,48;2.982,56;2.722,72;2.960,74;3.466,21;4.364,32;4.033,95;4.232,00;4.554,86;4.555,10;4.961,58
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;1,96;2,4;2,51;2,51;2,51;2,51;2,51;3,8;6,4;6,4;6,63;6,7;6,9;9;9;10,47;13,5;14,51;16,29;17,32;18,44;19,99;23,74;28,18;31,35;37,55;40,05;42,94;48,95;54,97;61,54;64,25;70,75;84,3;103,34;144,49;227,9;313,71;402,06;490,36;681,44;866,1;1.069,35;1.205,12;1.209,55;1.384,77;1.505,02;1.569,98;1.934,33;2.401,32;2.753,45;2.927,52;3.242,59;4.030,37;3.892,91;3.427,79;3.473,81;3.181,02;3.109,23;3.325,88;2.896,67;2.917,63;2.752,28;2.839,93;3.041,37;3.836,20;4.245,12;4.092,09;4.184,77;4.533,00;5.146,49
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;1,96;2,51;2,51;2,51;2,51;2,51;2,51;5,42;6,4;6,4;6,7;6,7;9;9;9;13,5;13,5;15,76;16,88;17,85;19,09;20,91;22,79;24,79;28,63;32,96;36,32;37,96;41;44;50,92;59,07;70,29;88,77;113,89;172,2;219;263,7;335,86;433,92;568,73;706,86;811,77;917,33;831,27;987,65;1.005,33;1.293,58;1.507,52;1.873,77;2.187,02;2.301,33;2.864,79;2.780,82;2.412,10;2.284,22;2.225,44;1.987,81;2.198,09;2.044,23;1.989,88;1.942,70;1.771,54;1.922,56;2.392,46;3.149,47;3.000,71;2.971,63;3.275,01;3.294,05;3.444,90
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;1,96;2,4;2,51;2,51;2,51;2,51;2,51;3,8;6,4;6,4;6,63;6,7;6,9;9;9;10,47;13,5;14,51;16,29;17,32;18,44;19,93;21,87;23,64;26,06;30,93;34,69;36,77;39,09;42,55;47,28;54,49;64,08;78,85;100,82;142,31;194,26;242,61;299,17;382,57;502,26;633,05;759,28;863,06;844,84;912,83;1.036,69;1.140,96;1.426,04;1.756,23;2.087,90;2.299,63;2.504,24;2.877,65;2.628,61;2.320,83;2.361,14;2.078,29;1.967,71;2.158,26;1.898,57;1.848,14;1.796,90;1.868,79;2.001,78;2.741,88;3.054,12;2.951,33;2.955,70;3.280,83;3.694,85
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;465,48;443,28;434,58;421,91;397,64;367,21;299,36;209,41;174,29;161,39;160,98;148,9;130,4;119,85;126,06;152,06;140,99;135,43;132,94;112,4;97,68;86,67;81,71;80,48;69,7;75,11;84,05;81,96;90,32;93,56;88,61;100;101,44;107,35;104,94;100,49;80,69;75,71;78,1;78,49;73,18;67,12
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;136,77;147,76;157,42;156,18;145,87;127,39;94,48;84,33;81,82;78,66;69,13;68,8;69,08;74,47;90,28;93,67;99,25;105,53;99,07;89,89;81,41;78,86;78,67;68,94;75,19;84,78;82,99;92,3;95,31;90,41;100;100,13;105,34;101,29;95,87;77,62;73,99;76,44;77,23;72,71;67,09
