Indicator;;;Scale;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;4,25;4,2;4,3;4,38;4,49;4,6;4,41;4,45;4,48;4,6;4,62;4,71;4,61;4,69;4,83;5,01;5,29;5,42;5,27;5,79;5,59;5,14;5,34;5,39;5,11;5,23;5,41;5,47;5,43;5,33;5,18;5,66;5,68;5,52;5,8;5,57;5,88;6,18;7,09;7,41;7,44;7,53;7,35;7,76;7,94;8,15;7,62;7,48;7,89;7,96;8,07;7,76;7,56;7,13;7,32;7,32
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;4,32;4,21;4,24;4,27;4,41;4,56;4,47;4,45;4,45;4,5;4,59;4,66;4,62;4,7;4,76;4,94;5,18;5,33;5,38;5,48;5,76;5,23;5,24;5,38;5,22;5,18;5,35;5,4;5,53;5,35;5,22;5,52;5,64;5,61;5,71;5,67;5,72;5,94;6,7;7,26;7,7;7,17;7,35;7,71;7,62;7,95;7,7;7,4;7,73;7,8;8,06;7,95;7,62;7,22;7,34;7,47
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;3,13;3,1;3,17;3,2;3,24;3,31;3,13;3,15;3,17;3,28;3,26;3,31;3,16;3,24;3,32;3,48;3,74;3,86;3,75;4,13;4;3,72;3,86;3,87;3,65;3,74;3,9;3,94;3,94;3,83;3,76;4,14;4,16;4;4,22;4,03;4,27;4,5;5,2;5,43;5,43;5,48;5,2;5,47;5,64;5,77;5,33;5,2;5,48;5,53;5,7;5,4;5,23;5;5,12;5,14
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;3,2;3,1;3,13;3,14;3,21;3,29;3,21;3,15;3,13;3,19;3,26;3,29;3,21;3,24;3,28;3,41;3,64;3,77;3,83;3,93;4,12;3,76;3,79;3,88;3,74;3,72;3,85;3,9;4;3,86;3,78;4,02;4,12;4,09;4,15;4,11;4,15;4,34;4,88;5,32;5,64;5,2;5,28;5,46;5,4;5,63;5,42;5,14;5,36;5,42;5,65;5,56;5,29;5,03;5,16;5,25
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;72,59;74,02;73,29;72,69;70,73;68,48;70,25;70,81;70,61;70,11;68,76;67,83;68,68;67,77;67,31;64,74;62,74;61,66;61,48;60,93;59,51;65,39;65,06;63,47;65,35;65,76;64,2;63,76;62,88;64,85;65,96;63,99;63,02;63,57;62,5;63,06;62,23;60,19;54,39;50,68;47,78;51,21;50,18;48,1;48,59;46,6;48,08;50,06;48,07;47,75;46,38;47,06;49,18;51,92;51,24;50,48
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;81,52;83,27;82,35;81,48;79,37;76,52;78,5;79;78,62;78,22;76,65;75,59;76,49;75,39;74,73;71,77;69,53;68,84;68,56;67,51;65,75;72,13;71,43;69,68;71,81;72,2;70,49;69,96;68,77;70,69;71,8;69,41;67,91;68,18;66,96;68,03;66,96;64,78;58,5;54,45;51,12;54,63;53,6;51,24;51,95;50,09;51,97;54,53;52,09;51,94;50,53;51,09;53,5;56,45;55,93;55,29
