Concept;Unit;Code;Scale;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,03;0,03;0,03;0,03;0,03;0,11;0,15;0,19;0,41;1,13;3,13;3,07;3,47;4,19;4,39;4,28;4,27;7,77;11,36;11,29;10,91;13,89;13,06;12,47;11,49;14,02;16,7;17,49;15,4;16,37;17,17;20,85;20,47;19,03;21,48;20;20,14;21,32;23,84;27,87;28,18;27,37;26,06;28,73
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,06;0,13;0,17;0,26;0,72;1,78;3,05;3,15;3,82;4,13;4,36;4,35;4,83;9,74;11,03;10,9;12,39;13,07;12,47;11,89;12,5;15,11;16,71;16,1;16,04;16,73;17,59;20,82;19,28;19,61;20,17;19,41;20,2;22,17;25,94;26,24;27,25;26,62;29,93
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,03;0,1;0,14;0,19;0,37;0,92;2,21;2,28;2,64;2,95;3,07;3,12;3,11;5,33;7,64;7,85;8,08;9,87;9,51;9,57;9,14;10,31;11,24;11,26;10,78;10,88;10,87;13,54;13,06;12,36;13,99;13,01;13,08;14,72;17,21;20,73;19,79;19,68;18,85;19,95
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,06;0,12;0,17;0,26;0,61;1,38;2,27;2,46;2,81;3,02;3,09;3,12;3,38;6,42;7,6;7,92;9,14;9,56;9,46;9,34;9,66;10,79;11,29;10,9;10,9;10,93;11,13;13,51;12,64;12,42;13,17;12,77;13,29;15,85;18,66;18,93;19,24;19,26;21,49
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;34.332,07;34.866,57;34.727,53;18.108,14;8.027,03;6.071,07;4.322,33;1.752,08;740,05;441,81;444,45;410,2;391,26;389,71;408,72;393,59;204,25;174,15;169,88;150,42;142,09;144,57;148,32;143,41;125,32;118;121,05;120,23;117,32;113,88;94,69;100;99,86;95,03;98,67;95,71;84,13;72,39;71,27;69,69;70,9;64,29
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;120,85;137,51;98,72;87;101,9;104,75;73,16;67,41;83,65;89,77;91,86;100,72;108,9;117,11;112,34;75,48;84,77;97,6;98,37;106,77;115,54;123,02;123,05;110,19;105,98;109,8;109,9;108,37;106,07;92,78;100;99,8;96,63;102,27;101,24;90,75;79,03;80,88;80,99;83,69;77,35
