Indicator;;;Scale;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;4,34;4,32;4,28;4,32;4,27;4,47;4,52;4,73;4,69;4,6;4,75;4,51;4,41;4,53;4,61;4,62;4,69;4,6;4,6;4,69;4,61;4,57;4,61;4,58;4,69;4,87;5,06;5,22;5,32;5,5
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;4,33;4,32;4,29;4,31;4,3;4,39;4,5;4,62;4,8;4,67;4,66;4,63;4,45;4,48;4,57;4,58;4,69;4,66;4,61;4,66;4,63;4,6;4,59;4,62;4,67;4,69;4,98;5,13;5,26;5,44
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;2,81;2,8;2,89;2,99;3,1;3,18;3,22;3,41;3,33;3,29;3,4;3,36;3,25;3,25;3,27;3,24;3,23;3,27;3,3;3,37;3,32;3,29;3,38;3,31;3,44;3,54;3,6;3,62;3,76;3,86
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;2,81;2,79;2,82;2,93;3,06;3,14;3,21;3,32;3,45;3,32;3,34;3,39;3,29;3,26;3,25;3,25;3,24;3,26;3,29;3,36;3,32;3,32;3,34;3,36;3,4;3,43;3,55;3,6;3,66;3,79
