Concept;Unit;Code;Scale;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,24;0,79;1,43;1,36;1,37;1,46;1,49;1,44;1,35;1,41;1,37;1,3;1,26;4,51;4,32;4,6;4,3;4,58;4,94;5,29;5,93;6,09;6,58;7,53;10,01;12,33;18,15;21,37;26,49;52,29;82,68;121,05
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,66;1,3;1,4;1,39;1,43;1,52;1,45;1,38;1,36;1,37;1,32;1,27;3,97;4,06;4,33;4,29;4,49;4,74;4,97;5,72;5,94;6,49;6,95;8,3;12,27;12,92;20,51;22,96;39,78;66,52;98,25
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,18;0,56;1;0,99;1;1;1;1;1;1;1;1;1;3,32;2,91;2,96;3,01;3,04;3,13;3,43;3,78;3,96;4,28;4,9;6,5;8,51;13,1;15,9;18,6;37,6;59,79;84,05
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0,49;0,95;0,99;1;1;1;1;1;1;1;1;1;3,06;2,9;2,92;2,9;3,05;3,1;3,14;3,71;3,9;4,11;4,54;5,46;8,08;9,23;14,76;16,56;28,09;48,15;70,54
