Indicator;;;Scale;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;34,98;35,37;36,57;35,25;35,42;38;40,84;41,4;44,68;42,78;39,61;39,33;38,7;39,63;40,92;40,96;41,22;44,26;46,34;45,05;46,48;48,91;50,36;51,63;58,7;58,07;59,93;60,98;62,62;62,16
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;34,24;35,46;36,04;35,48;34,84;37,21;39,75;41,11;43,89;44,03;40,85;39;38,58;38,86;40,5;41,15;41,25;43;44,5;45,14;45,73;48,26;49,23;51,59;54,37;59,05;60,06;60,68;61,91;62,98
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;22,63;22,88;24,67;24,33;25,68;27,02;29,1;29,87;31,72;30,58;28,38;29,26;28,52;28,48;28,95;28,76;28,35;31,47;33,21;32,39;33,48;35,18;36,94;37,34;43,01;42,21;42,58;42,34;44,19;43,58
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;22,22;22,94;23,68;24,14;24,78;26,62;28,36;29,55;31,58;31,24;29,26;28,57;28,5;28,3;28,74;29,16;28,49;30,08;31,78;32,55;32,84;34,85;35,82;37,51;39,58;43,13;42,74;42,6;43,09;43,89
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;101,89;98,02;96,47;98,7;101,54;96,26;94,1;93,39;91,78;90,15;96,16;100,84;101,05;100,77;97,78;96,97;98,35;97,72;99,15;98,77;97,54;94,21;93,87;91,82;88,97;85,89;85,4;84,99;84,23;82,77
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;110,04;105,33;104,45;107,26;112,24;106,68;105,71;105,23;105,08;103,36;110,44;114,99;117,05;116,68;113,57;112,74;116,6;115,92;117,98;116,5;116,93;112,54;112,95;110,18;108,44;108,1;107,66;106,89;106,05;103,9
