Indicator;;;Scale;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;3.037,65;2.908,12;3.007,39;3.466,21;3.553,64;3.595,03;4.382,38;4.364,32;4.257,95;4.079,24;4.019,87;4.033,95;3.908,05;4.227,40;4.156,60;4.232,00;4.041,80;4.142,48;4.171,21;4.554,86;4.429,82;4.444,83;4.719,78;4.555,10;5.547,65;5.171,12;5.459,90;4.961,58;5.295,98;5.358,60
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;3.092,99;2.959,77;2.914,63;3.189,80;3.473,00;3.488,12;4.127,41;4.252,94;4.534,32;4.217,35;4.116,61;4.112,55;3.956,40;4.008,00;4.193,91;4.215,40;4.140,26;4.057,69;4.146,10;4.386,71;4.365,48;4.486,73;4.589,92;4.687,19;4.852,25;5.269,58;5.249,60;5.216,20;5.108,60;5.303,58
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;1.965,32;1.881,19;2.028,48;2.392,46;2.576,05;2.556,21;3.121,94;3.149,47;3.022,35;2.916,15;2.879,95;3.000,71;2.880,24;3.038,26;2.941,07;2.971,63;2.780,04;2.945,09;2.989,58;3.275,01;3.190,94;3.197,23;3.462,01;3.294,05;4.064,81;3.758,91;3.878,94;3.444,90;3.736,91;3.756,67
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;2.007,25;1.915,07;1.914,85;2.169,96;2.470,20;2.495,66;2.944,90;3.056,76;3.262,10;2.992,63;2.948,52;3.013,23;2.922,29;2.918,98;2.976,59;2.987,45;2.860,31;2.838,54;2.960,96;3.163,02;3.135,07;3.240,00;3.340,22;3.408,03;3.532,34;3.849,38;3.735,50;3.662,20;3.555,81;3.696,21
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;99,04;103,26;104,61;95,03;86,71;86,62;75,49;73,94;70,77;76,42;77,81;77,84;80,54;79,35;76,21;76,32;78,24;80,54;79,67;75,51;75,46;73,71;72,33;71,22;69,58;65,88;66,44;66,57;68,01;65,41
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;94,44;98,32;99,81;90,91;83,26;83,03;72,41;71,8;69,4;74,83;76,18;75,57;78,38;77,59;74,78;75;76,88;79,23;78,34;74,47;74,71;72,98;72,11;71,03;69,42;65,99;66,38;66,56;67,69;65,23
