Indicator;;;Scale;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;10,68;10,68;10,24;10,01;9,53;9,72;9,7;9,58;9,73;9,67;9,65;9,29;9,38;9,61;9,77;9,84;10,05;9,72;9,64;9,61;9,59;9,61;9,42;9,56;9,43;9,51;9,73;9,95;9,79;9,86
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;10,65;10,68;10,52;10,16;9,72;9,66;9,68;9,61;9,6;9,74;9,65;9,43;9,36;9,49;9,74;9,75;10;9,88;9,68;9,58;9,62;9,57;9,5;9,5;9,49;9,46;9,71;9,84;9,93;9,91
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;111,97;110,91;112,7;117,95;124,79;127,04;133,1;137,16;141,46;136,92;135,87;139,04;138,45;137,44;134,92;135,61;133,35;138,56;146,67;148,92;147,81;150,77;153,57;156,83;160,43;168,42;165,35;163,51;162,72;162,95
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;118,45;117,08;119,78;125,07;133,44;133,53;139,96;143,82;147,47;142,19;140,1;143,54;142,4;139,96;138,76;139,35;136,65;140,61;147,23;148,52;146,88;148,32;150,89;153,25;154,06;162,6;158,94;154,9;152,52;150,54
