Indicator;;;Scale;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;1,55;1,55;1,48;1,45;1,38;1,41;1,4;1,39;1,41;1,4;1,4;1,34;1,36;1,39;1,41;1,42;1,45;1,41;1,4;1,39;1,39;1,39;1,36;1,38;1,36;1,38;1,41;1,44;1,42;1,43
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;1,54;1,55;1,52;1,47;1,41;1,4;1,4;1,39;1,39;1,41;1,4;1,36;1,35;1,37;1,41;1,41;1,45;1,43;1,4;1,39;1,39;1,38;1,37;1,38;1,37;1,37;1,41;1,42;1,44;1,43
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
