Indicator;;;Scale;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;12,29;12,5;12,42;12,33;12,1;12,71;13,16;18,15;20,57;20,98;21,36;21,37;20,9;23,1;24,45;26,49;29,95;40,51;57,41;52,29;60,04;58,89;78,38;82,68;87,85;96,79;107,09;121,05;130,24;136,39
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;11,68;12,37;12,56;12,44;12,15;12,47;12,9;14,14;20,07;20,06;20,86;21,04;21,22;21,6;24,36;24,77;28,71;33,58;44,84;51,35;54,31;60,73;69,32;81,54;84,34;92,51;102,91;113,88;127,1;134,84
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;7,95;8,08;8,38;8,51;8,77;9,04;9,38;13,1;14,6;15;15,3;15,9;15,4;16,6;17,3;18,6;20,6;28,8;41,15;37,6;43,25;42,36;57,49;59,79;64,37;70,36;76,08;84,05;91,9;95,62
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;7,58;8,01;8,25;8,46;8,64;8,92;9,21;10,16;14,44;14,23;14,94;15,42;15,67;15,73;17,29;17,56;19,84;23,49;32,02;37,03;39;43,86;50,44;59,29;61,4;67,58;73,23;79,95;88,46;93,97
