Concept;Unit;Code;Scale;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,01;0,03;0,05;0,9;2,45;9,95;20,24;33,96;44,23;51,38;49,74;45,39;64,5;76,23;87,26;201,74;250,76;337,8;333,05;389,75;479,24;536,23;525,71;592,06;589,91;605,19;611,09;593,41;667,08;727,53;746,15;824,67;968,5;890,72;869,42;734,94;804;783,52;969;793,93;721,31;800,58;735,57;806,59;879,98;980,18;897,06;876,16;967,56;1.029,68;1.049,90
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,02;0,09;0,71;5,96;15,07;25,14;39,63;48,12;50,76;45,99;56,2;84,22;100,94;163,33;226,34;283,71;329,27;342,17;413,68;477,78;510,64;564,35;601,57;601,91;598,51;576,96;624,35;695,66;711,59;808,3;892,06;968,35;902,7;826,76;780,16;799,68;825,55;864,29;778,49;763,56;745,12;752,65;866,55;915,19;940,95;899,62;907,94;971,17;1.104,17
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,01;0,03;0,05;0,75;2;8,5;17,42;27,96;33,95;39;39;39;58,47;72,81;89,02;183,66;205;238,11;247,49;296,58;336,86;374,87;382,33;431,04;404,09;407,13;424,97;439,81;473,77;530,07;572,68;656,2;712,38;599,42;559,83;514,21;534,43;495,82;629,11;506,43;468,37;521,46;478,6;523,76;607,38;707,34;667,29;615,22;695,69;744,62;728,96
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,02;0,07;0,59;4,91;13,05;21,54;31,66;37,25;39;39;50,91;78,79;98,48;160,86;192,93;219,41;245,01;266,95;304,9;349,22;362,58;404,17;420,18;396,77;412,27;419,3;460,29;508,78;539,59;634,94;688,94;691,4;609,53;559,77;530,28;522,46;522,46;560,86;510,25;483,67;486,47;495,27;570,35;654,12;676,96;648,83;641,28;702,9;792,73
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;72,25;74,63;88,15;85,18;64,94;65,81;50,73;41,6;37,72;41,05;56,84;70,28;71,44;78,99;89,34;106,45;112,41;111,82;116,95;111,96;105,33;103,4;92,66;90,22;85,45;92,15;97,89;101,7;98,44;96,24;93,41;100;101,98;104,72;104,45;93,12;90,35;91,05;94,57;96,42;92,45;84,35
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;164,33;194,82;175,7;143,91;142,7;120,73;101,66;93,4;87,76;90,12;86,26;88,31;93,3;95,13;98,47;104,42;106,94;114,77;112,73;107,37;106,51;95,94;91,67;86,22;91,04;96,32;100,14;97,51;98,26;95,13;100;100,71;102,9;101,35;91,87;90,99;92,62;95,74;97,1;92,52;84,9
