Indicator;;;Scale;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;1,36;1,35;1,36;1,37;1,38;1,39;1,41;1,41;1,41;1,4;1,42;1,42;1,46;1,45;1,45;1,44;1,42;1,41;1,4;1,4;1,4;1,38;1,38;1,39;1,4;1,4;1,39;1,39;1,38;1,39;1,38;1,37;1,36;1,38;1,37;1,38;1,38;1,37;1,36;1,37;1,37;1,38;1,41;1,42;1,41;1,41;1,43;1,44;1,44;1,44;1,42;1,44;1,44;1,43;1,43;1,42
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;1,35;1,36;1,35;1,36;1,37;1,38;1,4;1,41;1,42;1,41;1,41;1,42;1,44;1,45;1,45;1,45;1,42;1,41;1,41;1,4;1,4;1,39;1,38;1,39;1,39;1,39;1,39;1,39;1,38;1,39;1,38;1,37;1,37;1,37;1,38;1,38;1,38;1,37;1,37;1,36;1,36;1,38;1,39;1,41;1,41;1,41;1,42;1,44;1,44;1,44;1,43;1,43;1,44;1,44;1,42;1,42
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
