Concept;Unit;Code;Scale;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;15;15;15;15;15;15;15;15;15;15;15;18;18;18;18;18;18;18;18;18;25;27,14;27,14;30,16;30,61;29,27;29,05;30,37;32,57;32,93;31,89;29,1;36,57;56,64;65,85;105,17;179,2;314,23;582,03;852,13;1.249,38;1.817,48;2.535,85;2.807,25;3.312,39;4.345,74;5.226,97;5.974,48;9.609,77;27.783,76;1,3;1,26;1,36;1,49;1,55;1,43;1,5;1,58;1,54;1,57;1,54;1,54;1,54;1,54;1,45;1,39;1,34;1,42;1,39;1,38;1,44
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;15;15;15;15;15;15;15;15;15;15;15;16,5;18;18;18;18;18;18;18;18;20,92;25,07;27,14;29,8;30,07;30,35;28,86;29,19;31,3;32,3;32,54;29,48;33,15;47,16;64,1;70,62;144,04;220,42;405,34;674,65;1.041,65;1.431,43;2.160,39;2.679,70;3.145,06;3.890,38;4.630,34;5.501,68;7.387,95;16.116,30;1,32;1,27;1,29;1,4;1,48;1,48;1,47;1,53;1,58;1,54;1,53;1,58;1,53;1,52;1,52;1,4;1,39;1,39;1,42;1,38;1,39
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;15;15;15;15;15;15;15;15;15;15;15;18;18;18;18;18;18;18;18;18;25;25;25;25;25;25;25;25;25;25;25;25;33,15;54,1;67,17;95,75;146,5;221,5;432,51;648,42;878,2;1.270,58;1.844,25;2.043,78;2.269,00;2.923,50;3.635,00;4.428,00;6.825,00;20.243,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;15;15;15;15;15;15;15;15;15;15;15;16,5;18;18;18;18;18;18;18;18;20,92;25;25;25;25;25;25;25;25;25;25;25;30,03;44,12;62,54;69,56;122,78;170,46;301,61;526,35;767,75;1.046,25;1.533,96;1.919,11;2.196,73;2.564,49;3.189,47;3.998,27;5.446,57;11.786,80;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
