Indicator;;;Scale;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;28,56;26,85;25,52;26,2;25,63;24,9;24,9;25,27;25,62;26,9;26,31;28,18;27,13;26,96;26,64;27,13;27,98;28,21;26,06;26,72;26,37;27,37;28,23;27,37;26,61;26,79;26,82;26,25;26,5;26,61;26,26;27,41;26,77;26,37;26,85;26,06;25,76;26,31;32,09;33,32;30,68;31,6;31,07;31,38;31,61;29,88;28,67;28,73;29,13;29,47;29,2;28,68;28,82;28,25;28,51;28,81
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;28,89;27,62;26,29;25,53;25,82;25,17;24,91;25,13;25,28;26,4;26,72;26,98;27,33;27,04;27,14;26,61;27,76;28,72;26,86;26,24;26,68;26,52;28,04;27,95;26,79;26,71;26,76;26,39;26,37;26,73;26,34;26,89;26,85;26,58;26,53;26,44;25,95;25,69;30,14;33,08;32,18;30,65;31,3;31,4;30,56;30,2;29,16;28,73;28,69;29,15;29,68;28,66;28,78;28,76;28,42;28,51
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;21,02;19,83;18,81;19,11;18,51;17,9;17,69;17,88;18,13;19,15;18,58;19,79;18,62;18,65;18,33;18,86;19,75;20,06;18,55;19,07;18,9;19,8;20,41;19,68;19;19,16;19,32;18,94;19,24;19,14;19,09;20,03;19,64;19,12;19,56;18,85;18,71;19,16;23,51;24,39;22,36;22,97;21,99;22,12;22,46;21,16;20,05;19,95;20,22;20,48;20,6;19,97;19,95;19,8;19,95;20,23
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;21,37;20,38;19,41;18,76;18,79;18,19;17,85;17,81;17,8;18,72;18,98;19,06;19;18,63;18,68;18,35;19,49;20,31;19,12;18,81;19,05;19,06;20,25;20,18;19,22;19,19;19,23;19,02;19,09;19,29;19,07;19,59;19,62;19,37;19,29;19,18;18,81;18,77;21,97;24,26;23,6;22,22;22,48;22,24;21,65;21,36;20,51;19,98;19,89;20,24;20,79;20,05;19,98;20,04;19,97;20,05
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;63,78;66,61;70,02;72,28;72,05;74,14;75,2;74,93;74,64;71,3;70,4;69,93;69,45;70,6;70,47;71,79;68,29;65,91;70,49;71,98;71,19;71,31;67,26;67,49;70,54;70,6;70,56;71,47;71,61;70,67;71,42;70,09;70,14;70,95;71,17;71,53;72,79;73,41;63,05;57,42;59,04;62,23;61,25;61,59;63,14;63,88;66,2;67,44;67,67;66,59;65,17;67,51;67,4;67,26;67,89;67,73
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;70,86;74,3;78,58;81,52;81,66;84,3;85,75;85,59;85,16;81,64;80,8;80,37;79,88;81,19;81,31;82,83;78,9;76,37;81,91;83,96;83,25;83,48;79,07;79,77;83,33;83,06;83,07;84,25;84,5;83,42;84,31;82,66;82,84;83,87;84,2;84,77;86,31;87,27;75,2;68,54;71,21;75,09;74,04;74,53;76,5;77,75;80,2;81,56;82,12;81;79,59;82,67;82,69;82,41;83,16;82,99
