Concept;Unit;Code;Scale;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;...;...;...;...;...;...;...;111,3;111,3;122;126;126;126;126;126;126;126;126;126;126;126;136,8;136,8;152;154,27;147,5;146,39;153,05;164,15;165,98;160,7;146,66;138,99;131,92;235,25;351,49;672,76;780,26;740,13;1.600,65;1.789,70;1.973,99;2.241,26;2.582,29;2.809,77;2.942,73;3.033,61;3.184,23;3.999,06;4.568,90;4.595,23;5.884,01;9.657,50;9.086,65;9.706,30;8.747,11;7.807,85;7.703,71;7.616,63;7.227,05;7.030,76;6.896,41;6.513,50;7.081,19;6.716,23;8.046,82;7.752,67;7.961,59;8.289,87;8.923,57;9.962,06
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;4,85;6,01;9,29;22,44;26,7;35,25;58,04;78,16;111,3;121,27;123,17;126;126;126;126;126;126;126;126;126;126;126,38;136,8;150,21;151,53;152,98;145,47;147,11;157,75;162,79;163,99;148,57;139,1;134,69;206,03;311,37;397,9;711,19;739,15;1.353,81;1.668,54;1.813,05;2.112,92;2.435,68;2.727,05;2.977,93;2.985,99;2.996,78;3.698,32;4.264,76;4.597,68;5.227,00;7.401,63;8.997,77;8.848,20;9.124,59;8.290,60;7.703,04;6.894,55;7.653,68;7.259,98;6.620,69;6.772,60;6.540,47;6.779,54;7.282,28;7.881,85;7.790,80;8.115,69;8.622,58;9.431,33
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;...;...;...;...;...;...;...;111,3;111,3;122;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;240;320;550;550;550;1.218,00;1.258,00;1.380,00;1.630,00;1.880,00;1.924,70;1.979,66;2.109,67;2.360,00;2.840,19;3.328,86;3.526,90;4.682,00;7.103,59;6.114,96;6.250,00;6.120,00;5.190,00;4.875,00;4.945,00;4.610,00;4.565,33;4.492,00;4.238,03;4.598,18;4.635,70;5.806,92;5.766,93;5.590,48;5.960,54;6.453,14;6.916,81
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;4,85;6,01;9,29;22,44;26,7;35,25;58,04;78,16;111,3;121,27;123,17;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;201;306,67;339,17;550;550;1.056,22;1.229,81;1.325,18;1.500,26;1.744,35;1.904,76;1.963,02;2.056,81;2.177,86;2.726,49;3.119,07;3.486,35;4.105,93;5.716,26;6.424,34;5.974,58;6.177,93;5.635,09;5.032,71;4.363,29;4.966,68;4.758,43;4.193,80;4.421,66;4.303,88;4.462,19;5.204,92;5.670,54;5.618,93;5.732,10;6.240,72;6.771,10
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,46;0,62;0,88;1,07;1,5;2,32;3,21;3,85;4,3;9,19;20,25;56,1;70,63;86,39;116,66;171,76;174,55;174,3;173,96;145,51;143,17;131,13;122,37;104,18;90,5;93,32;85,72;91,44;97,15;107,56;99,06;100;110,43;110,18;117,79;120,45;119,61;117,39;116,92;121,57;121,47;123,44
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;189,87;206,41;177,58;169,18;166,46;143,92;143,96;114,29;122,22;90,98;89,55;100,42;97,4;98,21;103,54;104,66;108,62;111,72;101,93;105,06;101,79;98,05;85,19;79,62;82,04;76,92;86,29;94,47;108,22;99,17;100;112,19;110,27;115,33;117,52;114,81;110,83;109,94;113,51;110,21;108,86
