Indicator;;;Scale;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;21,61;20,99;20,9;21,11;22,29;23,1;24,85;24,45;24,45;24,79;24,49;26,49;28,56;29,06;29,95;29,55;35,29;40,51;38,61;51,43;57,41;49,55;52,04;52,29;52,18;54,59;60,04;61,04;61,52;58,89;60,22;81,29;78,38;82,17;82,15;82,68;82,96;85,29;87,85;91,19;93,9;96,79;102,05;105,11;107,09;110,42;116,14;121,05;125,68;129,13;130,24;134,21;136,71;136,39;138,01;139,06
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;21,5;21,14;21,02;20,9;21,63;22,3;24;24,58;24,49;24,63;24,62;25,07;27,3;28,78;30,07;29,35;33,72;37,56;38,68;42,01;53,82;51,4;50,38;52,27;51,98;53,32;57,63;59,88;61,87;60,45;58,68;72,06;77,12;80,18;82,02;82,42;82,66;83,87;86,48;89,54;92,23;95,8;99,37;103,35;106,05;109,56;113,5;118,65;123,89;127,51;129,85;132,55;135,39;136,59;136,82;138,07
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;15,9;15,5;15,4;15,4;16,1;16,6;17,65;17,3;17,3;17,65;17,3;18,6;19,6;20,1;20,6;20,55;24,91;28,8;27,48;36,7;41,15;35,85;37,62;37,6;37,25;39,05;43,25;44,05;44,66;42,36;43,78;59,41;57,49;59,57;59,84;59,79;60,25;62,11;64,37;66,74;68,44;70,36;72,22;74,08;76,08;78,22;81,21;84,05;87,23;89,72;91,9;93,46;94,63;95,62;96,59;97,64
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;15,91;15,59;15,52;15,35;15,73;16,12;17,2;17,42;17,25;17,47;17,48;17,72;18,98;19,83;20,7;20,24;23,68;26,57;27,53;30,11;38,43;36,96;36,38;37,73;37,29;38,3;41,42;43,16;44,78;43,63;42,48;52,49;56,36;58,44;59,65;59,77;59,91;61,26;63,02;65,66;67,63;69,44;71,38;73,2;75,1;77,48;79,84;82,54;85,88;88,55;90,97;92,76;94;95,15;96,13;97,11
