Indicator;;;Scale;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;9,39;9,36;9,38;9,47;9,57;9,61;9,73;9,77;9,77;9,71;9,78;9,84;10,07;9,99;10,05;9,94;9,79;9,72;9,71;9,68;9,64;9,55;9,56;9,61;9,68;9,66;9,59;9,58;9,52;9,61;9,5;9,46;9,42;9,53;9,49;9,56;9,51;9,49;9,43;9,44;9,48;9,51;9,76;9,8;9,73;9,75;9,88;9,95;9,96;9,95;9,79;9,92;9,98;9,86;9,87;...
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;9,34;9,37;9,36;9,41;9,5;9,56;9,64;9,75;9,81;9,74;9,73;9,78;9,94;10,03;10,04;10,02;9,84;9,77;9,71;9,64;9,68;9,61;9,57;9,57;9,63;9,62;9,61;9,59;9,55;9,57;9,54;9,49;9,46;9,48;9,5;9,53;9,53;9,46;9,48;9,42;9,42;9,53;9,62;9,76;9,76;9,77;9,82;9,93;9,97;9,95;9,86;9,87;9,95;9,92;9,83;...
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;...
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;6,91;...
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;139,73;137,68;137,94;137,21;137,67;137,43;136,43;134,73;133,59;135,14;135,87;135,82;133,36;132,98;133,7;134,33;139,28;142,07;143,89;146,26;149,86;148,29;148,93;149,53;147,5;147,13;148,79;149,62;152,06;150,61;149,57;154,76;156,4;156,3;157,36;156,84;156,57;159,53;165,19;169,28;170,03;165,95;165,65;165,58;164,82;166,03;163,78;160,71;161,24;162,1;164,82;164,14;162,46;162,25;164,67;165,97
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;143,68;141,89;141,63;139,9;140,09;139,9;139,61;138,54;138,12;139,13;139,54;139,38;136,86;136,43;136,67;136,77;141,45;143,63;144,98;147,05;149,68;147,66;148,49;149,41;147,45;146,28;146,91;147,14;149,68;148,14;147,02;152,38;153,28;153,16;155,11;151,49;150,63;153,06;158,49;163,42;164,2;160,19;159,76;159,92;157,12;158,15;155,04;151,53;151,81;152,23;153,5;152,29;150,05;149,28;150,83;151,59
