Indicator;;;Scale;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;6.865,80;6.781,72;6.670,23;6.716,23;6.619,87;7.290,32;7.911,57;8.046,82;7.929,84;7.818,08;7.754,30;7.752,67;7.650,10;7.735,66;7.994,42;7.961,59;8.066,46;8.021,27;8.225,55;8.289,87;8.581,29;8.606,03;8.698,06;8.923,57;8.957,18;9.364,54;9.831,70;9.962,06;8.948,86;9.625,04
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;6.970,89;6.830,99;6.529,65;6.784,19;6.691,69;7.066,83;7.437,67;7.926,72;8.059,15;7.903,97;7.741,93;7.821,02;7.653,76;7.658,43;7.893,13;7.962,29;8.074,65;8.040,17;8.102,09;8.237,23;8.460,26;8.668,92;8.490,95;8.868,11;8.980,94;9.038,79;9.760,75;9.967,71;9.657,30;9.504,88
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;4.442,08;4.386,94;4.499,06;4.635,70;4.798,78;5.183,70;5.636,09;5.806,92;5.628,71;5.588,96;5.555,40;5.766,93;5.638,14;5.559,68;5.656,58;5.590,48;5.548,29;5.702,71;5.895,39;5.960,54;6.181,37;6.190,45;6.380,13;6.453,14;6.563,01;6.807,13;6.984,86;6.916,81;6.314,44;6.747,68
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;4.523,88;4.419,87;4.289,85;4.615,15;4.759,53;5.056,12;5.306,78;5.697,26;5.797,96;5.608,64;5.545,16;5.730,40;5.653,26;5.577,54;5.602,08;5.642,86;5.578,39;5.624,47;5.786,15;5.939,41;6.075,73;6.260,08;6.179,11;6.447,96;6.537,95;6.602,75;6.945,54;6.998,15;6.721,91;6.624,21
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;117,58;119;124,41;120,81;124,03;119,36;119,61;115,44;117,98;117,6;117,68;116,31;117,31;118,35;116,08;115,94;115,96;120,63;125,71;123,96;120,43;119,78;124,04;121,63;122,9;129,71;121,58;119,57;124,71;126,25
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;115,26;116,64;120,91;117,27;119,72;114,66;114,98;109,87;113,18;111,08;110,27;108,79;109,84;111,25;109,31;109,36;109,12;113,07;117,06;114,81;110,29;109,29;112,42;108,86;108,79;114,58;107,15;104,92;108,1;108,2
