Concept;Unit;Code;Scale;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,09;1,09;1,21;1,22;1,17;1,16;1,21;1,3;1,32;1,28;1,16;1,1;1,05;0,98;1,1;3,06;3,55;3,64;4,47;7,13;7,21;7,25;7,99;8,25;8,98;8,58;8,33;9,64;10,73;10,07;10,05;10,61;11,95;12,03;10,88;11,47;12,06;11,97;13,09;12,34;11,99;12,13;12,09;11;10,6;10,15;10,46;10,75;10,65;11,23
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,09;1,19;1,2;1,21;1,15;1,17;1,25;1,29;1,3;1,18;1,1;1,07;1,03;1,02;2,2;3,23;3,52;3,61;6,09;6,88;7,28;7,87;8,23;8,81;8,78;8,35;8,67;10,1;10,24;10;10,13;11,12;11,77;11,28;11,19;11,74;11,95;12,58;12,29;12,29;12;11,94;11,75;10,71;10,56;10,19;10,65;10,63;10,76
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2,5;2,5;2,71;3,4;5,01;5,04;5,27;5,82;5,65;6,04;5,97;6,18;6,85;7,82;7,73;8;7,81;8,04;7,75;7,61;7,62;7,63;7,77;8,35;8,02;7,81;7,89;7,85;7,6;7,65;7,55;7,34;7,73;7,7;7,8
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,88;2,5;2,62;2,82;4,49;5,03;5,17;5,64;5,75;5,81;6,05;6,07;6,39;7,39;7,76;7,86;7,82;7,94;7,95;7,63;7,6;7,67;7,56;8,16;8,06;7,79;7,83;7,86;7,73;7,65;7,6;7,35;7,52;7,7;7,72
