Indicator;;;Scale;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;881,7;873,52;899,13;910,74;934,85;922,78;917,26;888,12;900,06;894,07;909,28;876,16;880,71;851,84;879,97;871,09;890,12;911,39;897,42;946,47;922,96;958,24;925,97;967,56;933,93;908,57;945,52;939,09;975,16;945,15;962,76;986,09;989,32;1.001,91;1.089,38;1.029,68;1.098,75;1.120,95;1.155,03;1.143,16;1.115,09;1.123,06;1.066,09;1.106,64;1.104,19;1.087,60;1.096,44;1.049,90;1.068,21;1.019,06;1.037,55;1.012,50;1.058,68;1.048,82;1.083,77;1.110,88
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;893,62;871,74;895,79;892,55;922,93;920,28;918,48;909,14;888,47;887,47;892,41;901,34;871,07;866,48;876,25;871,11;890,77;899,51;916,79;915,68;953,49;941,75;939,44;944,97;944,31;913;929,77;925,43;956,24;959,29;948,23;979,8;982,27;990,14;1.059,80;1.063,45;1.069,45;1.090,64;1.151,70;1.163,63;1.121,92;1.095,04;1.089,96;1.107,86;1.092,02;1.114,56;1.083,63;1.064,36;1.043,00;1.040,43;1.036,84;1.011,46;1.023,34;1.042,94;1.070,15;1.108,81
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;648,87;645,19;662,66;664,28;675,31;663,21;651,58;628,36;636,85;636,49;642,41;615,22;604,42;589,15;605,26;605,74;628,33;647,95;638,79;675,38;661,5;693,31;669,43;695,69;666,76;649,92;681,09;677,67;707,86;679,86;699,98;720,65;725,68;726,34;793,49;744,62;797,96;816,26;846,3;836,62;812,74;816,36;754,45;779,92;784,46;770,45;766,69;728,96;741,4;708,04;732,11;705,09;732,82;735,28;758,53;779,97
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;661,19;643,21;661,2;655,74;671,39;665,15;658,17;644,24;625,54;629,55;633,69;636,92;605,6;597,03;603,14;600,55;625,44;636,15;652,43;656,25;680,94;677,1;678,53;682,17;677,39;655,9;668,23;667,08;692,09;692,41;686,49;713,7;717,87;721,69;770,68;771,24;775,11;796,57;839,38;853,38;822,7;793,72;782,93;784,66;773,37;788,27;762,26;740,39;722,95;722,53;726,37;707,85;710,55;726,54;751,92;779,89
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;95,54;97,19;94,41;94,76;92,15;92,4;92,63;93,52;95,58;96,06;95,73;94,86;97,91;98,69;97,97;98,64;97,28;97,06;95,73;96,48;93,88;94,53;94,71;94,19;93,85;96,87;95,55;96,07;93,74;93,18;93,68;92,14;92,19;91,45;85,46;85,15;84,36;83,25;80,65;80,75;83,8;85,23;85,9;84,97;85,85;84,14;86,08;87,22;89,2;89,54;90,27;92,45;91,19;89,28;87,31;84,46
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;96,82;98,79;95,91;96,2;93,55;93,46;93,79;94,64;96,2;96,99;96,65;95,84;98,97;99,54;98,73;99,48;98,05;97,74;96,46;97,11;94,35;94,87;95,2;94,75;94,29;97,08;95,59;95,91;93,87;93,38;93,86;92,32;92,01;91,47;85,38;85,07;84,3;83,46;81,09;81,43;84,54;85,72;86,38;85,25;86,49;85,05;86,97;88,17;90,19;90,43;90,89;93,08;91,65;89,61;88;85,25
