Indicator;;;Scale;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;10,15;9,98;9,96;10,06;10,18;10,2;10,24;10,31;10,39;10,31;10,39;10,46;10,71;10,66;10,74;10,66;10,6;10,54;10,51;10,61;10,74;10,67;10,66;10,75;10,87;10,77;10,66;10,61;10,63;10,71;10,56;10,51;10,56;10,63;10,58;10,65;10,55;10,55;10,49;10,53;10,55;10,6;10,89;10,98;10,95;11,01;11,18;11,23;11,22;11,09;10,92;11,08;11,15;11,05;11,07;11,01
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;10,16;10,03;9,96;9,99;10,09;10,15;10,19;10,26;10,37;10,35;10,32;10,39;10,56;10,68;10,74;10,74;10,6;10,58;10,51;10,48;10,73;10,74;10,66;10,71;10,78;10,76;10,7;10,6;10,6;10,67;10,6;10,53;10,55;10,64;10,59;10,6;10,61;10,47;10,55;10,51;10,49;10,62;10,71;10,88;10,96;11;11,07;11,21;11,24;11,15;11,02;11,03;11,11;11,11;11,02;11
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;7,47;7,37;7,34;7,34;7,36;7,33;7,28;7,29;7,35;7,34;7,34;7,34;7,35;7,37;7,39;7,41;7,48;7,49;7,48;7,57;7,7;7,72;7,71;7,73;7,76;7,7;7,68;7,65;7,72;7,71;7,68;7,68;7,74;7,7;7,7;7,7;7,66;7,68;7,69;7,71;7,69;7,7;7,71;7,73;7,78;7,8;7,82;7,8;7,79;7,7;7,71;7,72;7,72;7,75;7,75;7,73
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;7,52;7,4;7,36;7,34;7,34;7,34;7,3;7,27;7,3;7,34;7,33;7,34;7,34;7,36;7,39;7,4;7,44;7,48;7,48;7,51;7,66;7,72;7,7;7,73;7,73;7,73;7,69;7,64;7,67;7,7;7,67;7,67;7,71;7,76;7,7;7,69;7,69;7,65;7,69;7,71;7,69;7,7;7,7;7,7;7,76;7,78;7,79;7,8;7,79;7,74;7,72;7,72;7,71;7,74;7,74;7,74
