Indicator;;;Scale;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;20,22;20,15;19,95;21,32;20,91;21,89;23,87;23,84;24,52;26,45;27,22;27,87;25,52;24,9;25,62;28,18;26,64;28,21;26,37;27,37;26,82;26,61;26,77;26,06;32,09;31,6;31,61;28,73;29,2;28,25
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;20,39;20,09;19,95;20,33;20,99;21,4;22,99;23,3;25,11;25,45;26,15;27,03;27,6;25,51;25,11;26,7;27,17;27,71;26,6;27,5;26,75;26,5;26,7;26,52;27,26;31,98;31,09;29,36;29,17;28,73
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;13,08;13,03;13,45;14,72;15,15;15,57;17,01;17,21;17,4;18,91;19,5;20,73;18,81;17,9;18,13;19,79;18,33;20,06;18,9;19,68;19,32;19,14;19,64;18,85;23,51;22,97;22,46;19,95;20,6;19,8
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;13,23;13;13,11;13,83;14,93;15,31;16,4;16,75;18,07;18,06;18,73;19,8;20,39;18,58;17,82;18,92;18,77;19,38;18,99;19,83;19,21;19,13;19,43;19,28;19,85;23,36;22,12;20,62;20,31;20,02
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;95,66;97,09;96,77;93,33;88,17;86,25;81,59;80,52;75,1;74,26;71,61;68,6;66,8;72,82;74,93;70,54;70,17;68,66;71,22;68,69;70,57;71,25;70,55;71,22;69,75;59,56;61,99;65,84;66,47;67,39
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;100,43;102,12;102,54;99,9;94,84;92,81;88,04;87,33;81,74;80,78;78,26;75,34;74,58;82,5;85,5;80,94;80,79;79,37;83,04;80,77;83,15;84,05;83,27;84,28;82,93;71,61;75,02;79,84;80,9;82,59
