Concept;Unit;Code;Scale;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,16;1,24;1,45;1,49;1,51;1,7;2,45;2,55;2,92;4,8;4,29;4,12;3,34;3,22;2,8;3,6;2,73;2,6;2,85;3,15;3,62;3,85;5,41;4,38;4,71;5,39;5,57;7,48
National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,95;1,39;1,46;1,48;1,57;2,48;2,41;2,99;3,78;4,31;4,33;3,6;3,2;2,98;2,9;3,08;2,68;2,64;2,99;3,28;3,57;4,65;4,85;4,42;5,17;5,45;7,18
Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,12;0,85;0,97;1,04;1,12;1,21;1,79;1,95;2,32;3,53;2,89;2,65;2,34;2,14;1,77;2,34;1,74;1,69;1,86;2,05;2,35;2,66;3,9;3,26;3,31;3,87;4,03;5,2
Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0,66;0,92;1,01;1,08;1,16;1,81;1,83;2,35;2,92;3,08;2,93;2,43;2,18;1,95;1,83;2;1,76;1,67;1,95;2,16;2,35;3,33;3,49;3,19;3,65;3,94;5,16
Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;7.180.469.604.682,06;3.667.616.427.131,44;2.396.510.491.817,75;1.447.850.526.210,65;566.293.073.016,62;195.451.141.462,65;67.531.431.643,12;24.917.325.137,28;10.342.914.944,30;1.956.426.348,16;235.486.193,66;9.173.732,70;1.279.054,18;146.689,73;11.117,18;375,14;166,39;155,86;153,22;146,97;94,7;97,36;78,39;73,41;61,99;63,08;74,46;82,7;89,33;92,87;89,75;100;102,48;90,93;83,9;81,12;63,67;64,69;70,85;64,06;64,07;51,51
Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;84,23;97,94;106,16;81,43;72,63;70,25;67,04;69,59;69,03;92,44;114,57;96,32;84,73;89,09;92,81;101,55;107,12;109,88;106,82;71,01;76,57;63,94;60,94;57,59;60,45;73,46;81,73;87,43;90,37;89,16;100;103,18;92,01;86,43;84,59;69,62;73,04;79,26;70,98;69,68;55,32
